year,capture
1950,26598
1951,25203
1952,24781
1953,24440
1954,20873
1955,21524
1956,26947
1957,27934
1958,30051
1959,29346
1960,27865
1961,34552
1962,21191
1963,27531
1964,24088
1965,20070
1966,26469
1967,21245
1968,20869
1969,33132
1970,31088
1971,26775
1972,36037
1973,30735
1974,37785
1975,47671
1976,34296
1977,25516
1978,22786
1979,35189
1980,30372
1981,29009
1982,37903
1983,33547
1984,31447
1985,37271
1986,36535
1987,31042
1988,30750
1989,32030
1990,52520
1991,56929
1992,69080
1993,79980
1994,89062
1995,102723
1996,95739
1997,153997
1998,133256
1999,138841
2000,136939
2001,127533
2002,104531
2003,113475
2004,116105
2005,136048
2006,136805
2007,141221
2008,140694
2009,163005
2010,194252
2011,213805
2012,204315
2013,211863
2014,196717
